iter	Passed	Remaining
0	1	192
1	3	173
2	4	150
3	5	136
4	6	129
5	7	125
6	9	125
7	10	124
8	12	122
9	13	121
10	14	120
11	16	119
12	17	117
13	19	117
14	20	117
15	21	115
16	23	113
17	24	111
18	25	110
19	27	109
20	28	107
21	29	104
22	30	102
23	31	100
24	33	99
25	34	98
26	36	98
27	37	97
28	39	96
29	41	96
30	42	94
31	43	93
32	45	91
33	46	90
34	47	89
35	49	87
36	50	86
37	52	85
38	53	84
39	55	82
40	56	81
41	57	79
42	59	78
43	60	76
44	61	75
45	63	74
46	65	73
47	66	72
48	68	71
49	69	69
50	71	68
51	72	67
52	74	65
53	75	64
54	75	62
55	77	60
56	78	59
57	79	57
58	81	56
59	82	55
60	83	53
61	85	52
62	86	50
63	87	49
64	88	47
65	90	46
66	91	44
67	92	43
68	94	42
69	95	41
70	97	39
71	98	38
72	99	36
73	100	35
74	102	34
75	103	32
76	104	31
77	105	29
78	107	28
79	108	27
80	110	25
81	111	24
82	113	23
83	115	21
84	116	20
85	117	19
86	119	17
87	121	16
88	122	15
89	123	13
90	125	12
91	126	10
92	127	9
93	128	8
94	129	6
95	130	5
96	131	4
97	132	2
98	134	1
99	135	0
